title,body,tituloBemDefinido,tituloMedio,tituloCaixaAlta,tituloParCaixaAlta,coerencia,perguntaBemDefinida,vocativo,evDescricaoCurta,evDescricaoLonga,presencaCodigo,evTrechoGrandeCodigo,evPergComApenasCod,perguntaUnica,incluirAgradecimento,evSerExigente,usoNormaCultaLing,evCriarPergDuplicada,evPergFactoides,evPergSobreTrabAcademicos,incluirLinkPergunta,link
Como somar valores duplicados de um arrayList de objetos e manter apenas 1 de cada objeto duplicado?,"Olá tenho o seguinte problema e estou tendo bastante dificuldade em resolvelo. Tenho um código que aplica uma formula matematica. Essa formula acaba sendo aplicada varias vezes. cada vez ela gera um objeto o nome e o resultado. O problema e que tenho que somar todos os objetos que tenham o mesmo nome em um unico resultado.

Exemplo resumido

class Formula(){
 private String nome;
 private String formula;
 private float resultado;
}
A lista tem elementos com mesmo nome e formula

ArrayList<Formula> resultados = new ArrayList<>();
Então a lista acaba tendo valores tipo assim

resultados.get(0) = ""FOMULA1"",""2+4"",""6"";

resultados.get(1) = ""FOMULA1"",""2+4"",""6"";

resultados.get(2) = ""FOMULA1"",""2+4"",""6"";
O que eu preciso e gerar um novo ArrayList que contenha a soma total de todos os resultados com o mesmo nome. que retorne assim

resultadosAtualizados.get(0) = ""FORMULA1"",""2+4"",""18""

resultadosAtualizados.get(1) = ""FORMULA2"",""1+1"",""6""",0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,http://pt.stackoverflow.com/questions/129463/como-somar-valores-duplicados-de-um-arraylist-de-objetos-e-manter-apenas-1-de-ca,
Qual a diferença entre referenciar um atributo diretamente ou por get/set,"
5
votar contra
favorita
1
Como exemplo tenho um private String atributo, logo posso ter dois jeitos de referenciar o mesmo, isso internamente na classe:

this.atributo
E também:

this.getAtributo();
É correto dizer que é errado usar this.atributo e certo usar this.getAtributo() ?

Em casos, não preciso pegar ou setar valores da classe na meu main() ou em outra classe, então nem crio os getters e setters, pois criar é uma forma indireta de tornar um atributo privado em atributo público, logo seria falho para segurança.

Mas voltado a questão principal, é errado usar this.atributo? E qual a diferença entre usar um ou outro?",1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/129353/qual-a-diferen%C3%A7a-entre-referenciar-um-atributo-diretamente-ou-por-get-set,
Sobrecarga de métodos (double e float),"Tendo 2 métodos com mesmo nome, porém os tipos são diferentes (double e float), a quantidade de parâmetro é a mesma, qual dos métodos o Java vai reconhecer primeiro e por quê?",1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/128247/sobrecarga-de-m%C3%A9todos-double-e-float,
É uma boa prática de programação escrever um while com argumento true para que ele seja executado infinitamente?,"Em uma situação hipotética: É uma boa prática de programação, escrever um while dessa maneira? Para que ele continue sendo executado infinitamente?

    while(true){
    System.out.println(""Por favor, Escolha: "");
    System.out.println(""1: Adicionar Cliente"");
    System.out.println(""2: Depositar Dinheiro"");
    System.out.println(""3: Retirar Dinheiro"");
    System.out.println(""4: Checar Conta"");
    System.out.println(""5: Calcular Valor"");
    System.out.println(""6: Sair"");
    }
",0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,http://pt.stackoverflow.com/questions/127807/%C3%89-uma-boa-pr%C3%A1tica-de-programa%C3%A7%C3%A3o-escrever-um-while-com-argumento-true-para-que-e,
Converter String para Double mantendo conteúdo,"Preciso em Java converter uma String que possui um valor binário (Ex: ""0111010"") para um double. Testei:

String teste = ""101010101"";
double number = Double.parseDouble(teste);
System.out.println(""The number is: "" + number);
Porém a saída é um numero hexadecimal totalmente diferente. Preciso que a saída seja o mesmo conteúdo da String. O double pode até colocar ponto em algum lugar, sem problemas, mas precisa manter o mesmo binário e na mesma ordem.",1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,http://pt.stackoverflow.com/questions/126681/converter-string-para-double-mantendo-conte%C3%BAdo,
Definir quais JFrames ficarão com foco?,"Preciso deixar um JFrame em foco e não permitir utilizar os demais, enquanto eu não fechar esse.
Toda vez que abrir um novo Frame os demais abaixo dele devem ficar inoperantes.
Como posso fazer isso?

",1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/126315/definir-quais-jframes-ficar%C3%A3o-com-foco,
Adicionar linha jTable,"Tenho uma AbstractTableModel só que eu não sei como adicionar linhas em branco, quando apertar o botão add linha no meu frame eu quero que ele chame um método chamado addLinha() do meu ModeloTabela, alguém pode me ajudar?

    public class ModeloTabela2 extends AbstractTableModel {
    private ArrayList linhas = new ArrayList();
    private String[] colunas = {""DATA"", ""EVOLUÇÃO""};

    public boolean isCellEditable(int linha, int coluna) {
        return true;
    }

    public ArrayList getLinhas(){
        return linhas;
    }
    public void setLinhas(ArrayList dados){
        linhas = dados;
    }
    public String[] getColunas(){
        return colunas;
    }
    public void setColunas(String[] nomes){
        colunas = nomes;
    }
    public int getColumnCount(){
        return colunas.length;
    }
    public int getRowCount(){
        return linhas.size();
    }
    public String getColumnName(int numCol){
        return colunas[numCol];
    }
    public Object getValueAt(int numLin, int numCol){
        Object[] linha = (Object[])getLinhas().get(numLin);
        return linha[numCol];
    }
    public Class<?> getColumnClass(int coluna) {
        switch(coluna){
        case 0:
            return String.class;
        case 1:
            return String.class;
        default:
            return String.class;
        }

    }
    public void addLinha(){       //Aqui eu adicionaria a linha em branco...

    }

}",1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,http://pt.stackoverflow.com/questions/125956/adicionar-linha-jtable,
Como verificar se uma tabela existe usando jdbc java,Como verificar se uma tabela existe no jdbc usando Sqlite3?,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,http://pt.stackoverflow.com/questions/125099/como-verificar-se-uma-tabela-existe-usando-jdbc-java,
Ativar JButton a partir de seleção em JTable e remover o foco inicial da tabela,"Eu tenho uma janela com um JTable, onde só é válida a seleção de uma linha inteira, e não de apenas um campo. A questão é que a janela já abre com a primeira linha selecionada, e eu gostaria de desativar isso.

Nessa mesma janela eu tenho um JButton que já é desativado na hora da sua criação, porém eu gostaria de ativá-lo assim que o usuário selecionar qualquer linha do JTable ...

Resumindo : Como eu desativo a seleção automática da linha do JTable no momento que a janela abre ? Como ativar um botão quando o usuário selecionar qualquer linha desse mesmo JTable ?",0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/125055/ativar-jbutton-a-partir-de-sele%C3%A7%C3%A3o-em-jtable-e-remover-o-foco-inicial-da-tabela,
Pesquisa sql com vários campos em java,"Como fazer uma pesquisa sql em java que envolva vários argumentos?
Exemplo: quero pesquisar todas pessoas com nacionalidade angolana, com o curso de ciências da Computação e que têm dois ou mais anos de experiência profissional.

Eu estou usando assim: select * from candidato where nome like ?, mas quando aumento mais campos retorna erro.

Este é o meu método de pesquisa:

public List<Dados_Cadastro> getLista(String nome) throws SQLException{
     String sql=""select * from candidato where nome like ?"";
 PreparedStatement stm = this.conexao.prepareStatement(sql);
 stm.setString(1, nome);
 ResultSet rs = stm.executeQuery();

 List<Dados_Cadastro>nova_lista = new ArrayList<Dados_Cadastro>();
 while(rs.next()){
  Dados_Cadastro cadastro =new Dados_Cadastro();

 cadastro.setNome_cadastro(rs.getString(""nome""));
 cadastro.setGenero_cadastro(rs.getString(""genero""));
 cadastro.setData_nasc_cadastro(rs.getString(""nasc""));
 cadastro.setCbox_nacion_cadastro(rs.getString(""nacionalidade""));
 cadastro.setCbox_nivel_cadastro(rs.getString(""n_academico""));
 cadastro.setCurso_cadastro(rs.getString(""curso""));
 cadastro.setEmpresa_cadastro(rs.getString(""empresa""));
 cadastro.setCbox_exper_cadastro(rs.getString(""experiencia""));
 cadastro.setIdent(Long.valueOf(rs.getString(""ident"")));
nova_lista.add(cadastro);
 }
 rs.close();
 stm.close();
 return nova_lista;
 }",1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/124781/pesquisa-sql-com-v%C3%A1rios-campos-em-java,
Converter float ou double em $ real,"Tenho um float = 11.6 quero converter em moeda brasileira R$ 11,60, alguém sabe como fazer?",1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/124721/converter-float-ou-double-em-real,
